date	iteration	slug	status	summary
2026-03-21	1	hardware-matrix-moe-changes-everything	keep	MoE architecture inverts hardware logic — unified memory (Mac M4 Pro 64GB) beats discrete GPU for 120B/12B-active model deployment
2026-03-21	2	model-selection-the-135m-pivot	keep	No 50M model exists off-the-shelf; SmolLM2-135M is the pragmatic micro, Phi-4-mini/Qwen3.5-4B for nano, Nemotron 3 Super for super
2026-03-21	3	obsidian-vault-as-swarm-memory	keep	Obsidian vault serves as shared memory bus via 3 layers (embeddings, MCP read/write, graph RAG) mapped to 3 model tiers
2026-03-21	4	claude-code-sidecar-architecture	keep	Three-stage memory pipeline (capture→process→inject) using hooks, processing in the swarm not in Claude's context window
2026-03-21	5	orchestration-ollama-is-enough	keep	Ollama alone handles 3-model serving for single user — no custom orchestration needed yet, phased complexity path
2026-03-21	6	daily-retraining-is-adapter-swap	keep	Daily retraining is a 5-15 min LoRA adapter swap (~3MB), not model training. RAG handles recall (80%), LoRA handles personality (20%)
2026-03-21	7	micro-capability-ceiling	keep	135M micro is a bouncer (classify, route, retrieve), not a bartender (explain, teach). Two-layer split on M4 16GB at ~9GB total
2026-03-21	8	link-to-learning-pipeline	keep	Link-to-learning needs 14B on PC 64GB — comprehension + context mapping + pedagogical synthesis. CPU-only at 2-6 tok/s is fine for batch
2026-03-21	9	training-economics-free-vs-cloud	keep	Micro retrains daily for $0 locally, 14B fine-tunes monthly for $1-6 on RunPod, nano never needs fine-tuning. Total: ~$3-6/month
2026-03-21	10	two-machine-split-brain	keep	Two cheap machines beat one expensive one — Mac Mini (3-5W sidecar) + PC (on-demand compute). Syncthing + Ollama API connect them
2026-03-21	11	one-nemoclaw-not-many	keep	Handoff pattern is the right topology for 3-model personal swarm — one Nemoclaw (micro as router), not agent-per-model
2026-03-21	12	swarm-is-filesystem-events	keep	The swarm is already event-driven — filesystem/Syncthing/hooks IS the event bus, no message broker needed
2026-03-21	13	a-day-with-nemoclaw	keep	Hour-by-hour walkthrough of what Nemoclaw+swarm does daily — morning briefing, coding sidecar, link-to-learning, daily maintenance
2026-03-21	14	the-code-layer-beneath-the-swarm	keep	70% of Nemoclaw is deterministic code, not AI. Build plumbing first, add intelligence gradually.
2026-03-21	15	what-you-actually-gain-by-owning-it	keep	Honest cost/capability accounting: local swarm gives persistent memory and privacy, not better reasoning
